Tag,Description
S,表示結構樹為句子，以述詞為中心語，此外當主詞和述詞的賓語或補語的型式為句子或子句的時候，詞組結構標記為S，不為NP。
VP,述詞詞組，中心語為述詞（V）。
NP,名詞詞組，中心語為名詞（N）。
GP,方位詞詞組，中心語為方位詞（Ng），所帶論元角色為DUMMY1。
PP,介詞詞組，中心語為介詞（P），所帶論元角色亦為DUMMY。
XP,連接詞詞組，中心語為連接詞（C），X代表一個變數，XP的真正詞類由連接成分決定，例如：連接成分為述詞詞組（VP），則為述詞詞組（VP），連接成分為名詞詞組，則為名詞詞組（NP）。
DM,定量詞詞組。
